,title,category_id,views,likes,favorites,comments,date,tags
60,[FULL영상] 연애의 참견2 다시보기 | EP.12,24,929163,3089,0,Nan,2018-11-28T11:14:34Z,Nan
61,[FULL영상] 연애의 참견2 다시보기 | EP.11,24,1173023,4361,0,Nan,2018-11-21T05:21:18Z,"['연애의 참견', '연참', '연애', '참견', '무료다시보기', '다시보기', '11회', 'full', '영상']"
62,[FULL영상] 연애의 참견2 다시보기 | EP.10,24,1101205,4034,0,Nan,2018-11-14T00:19:36Z,"['무료 다시보기', '연애의 참견', '연참2', '10회', '영상', 'full', '연애의 참견2']"
63,[FULL영상] 연애의 참견2 다시보기 | EP.09,24,969199,3423,0,Nan,2018-11-07T06:37:19Z,"['연애의 참견', '무료다시보기', '다시보기', '무료', '참견', '연애', '9회', '풀영상', 'full영상']"
64,[FULL영상] 연애의 참견2 다시보기 | EP.08,24,1393051,4423,0,Nan,2018-10-31T07:13:26Z,"['무료 다시보기', '다시보기', '연애의 참견', '연애', '8회', 'full', '영상']"
65,[FULL영상] 연애의 참견2 다시보기 | EP.07,24,1372802,4396,0,Nan,2018-10-24T08:44:25Z,"['연애', '현실', '참견', '조언', '사이다', '돌직구', '남녀', '생각차이', '로맨스', '사랑', '썸', '애인', '김숙', '주우재', '서장훈', '한혜진', '곽정은']"
66,[FULL영상] 연애의 참견2 다시보기 | EP.06,24,1160802,3973,0,Nan,2018-10-17T07:42:01Z,"['연애', '현실', '참견', '조언', '사이다', '돌직구', '남녀', '생각차이', '로맨스', '사랑', '썸', '애인', '김숙', '주우재', '서장훈', '한혜진', '곽정은']"
67,[FULL영상] 연애의 참견2 다시보기 | EP.05,24,1028902,3575,0,Nan,2018-10-10T00:00:00Z,"['바람', '잠자리', '실수', '롱디', '결혼', '연애', '현실', '참견', '조언', '사이다', '돌직구', '남녀', '생각차이', '로맨스', '사랑', '썸', '애인', '김숙', '주우재', '서장훈', '한혜진', '곽정은']"
68,[FULL영상] 연애의 참견2 다시보기 | EP.04,24,1331797,4723,0,Nan,2018-10-03T00:00:02Z,"['연애', '현실', '참견', '조언', '사이다', '돌직구', '남녀', '생각차이', '로맨스', '사랑', '썸', '애인']"
69,[FULL영상] 연애의 참견2 다시보기 | EP.03,24,928846,3359,0,Nan,2018-09-19T00:00:04Z,"['연애', '현실', '참견', '조언', '사이다', '돌직구', '남녀', '생각차이', '로맨스', '사랑', '썸', '애인']"
70,[FULL영상] 연애의 참견2 다시보기 | EP.02,24,718411,2707,0,Nan,2018-09-12T23:51:53Z,"['연애', '현실', '참견', '조언', '사이다', '돌직구', '남녀', '생각차이', '로맨스', '사랑', '썸', '애인']"
71,[FULL영상] 연애의 참견2 다시보기 | EP.01,24,865464,3429,0,Nan,2018-09-07T04:57:41Z,"['연애', '현실', '참견', '조언', '사이다', '돌직구', '남녀', '생각차이', '로맨스', '사랑', '썸', '애인']"
